hvac_S,hvac_N
30.57333333,34.03333333
25.06666667,15.87
25.9,21.4
26.70815331,9.860567124
34.43933333,41.286
20.11555556,14.71111111
15.50894737,26.23684211
0.936842105,21.99157895
0.0,35.79
24.1745,8.499
20.0,46.2
25.04285714,7.515384615
0.0,27.189
13.416210441386738,24.773513381938074
27.1,22.7
0.0,3.855
22.50666667,26.3
27.50666667,8.208
0.0,21.3
20.0085,23.285
25.12666667,8.48
1.3,7.933333333
10.8,22.80533333
0.0,19.18588235
12.52294118,19.904
19.15375,25.36666667
1.731578947,0.0
21.83333333,27.51111111
6.898,19.06333333
24.96369488,9.193481225
16.18357143,25.42142857
26.7,7.725
20.69235294,8.6
19.8,20.8
0.0,22.7
23.05625,11.057
17.08736842,1.895
0.0,22.2
7.285714286,18.82
22.58,27.23636364
22.98842105,13.73222222
8.508947368,21.5895
25.7,24.4
24.9625,19.5475
22.625,12.54916667
22.0,38.2
2.121666667,0.0
25.8375,32.51125
47.73888889,9.053333333
25.9625,22.46666667
13.05333333,25.11111111
57.19375,8.998888889
7.67375,36.87933333
42.67375,45.36789474
46.355,7.711111111
9.848333333,21.82578947
21.19944444,39.58888889
12.55444444,24.47222222
20.54052632,27.094
44.36315789,44.11526316
15.79142857,23.05
38.77416667,8.514285714
28.66875,8.7975
0.0,9.971428571
26.1375,7.342857143
35.29,58.2
19.9575,29.94083333
27.3,31.7
21.97058824,8.088888889
19.34833333,10.1975
16.14444444,27.76666667
27.13125,8.953636364
25.08235294,8.783333333
33.23133333,30.432
19.22421053,23.44761905
20.1,51.4
11.69833333,22.65
29.42367636,9.433102479
19.09045455,39.38636364
0.0,37.0
24.38947368,7.998888889
0.0,1.149375
23.5,8.445
26.17894737,11.0
25.98421053,42.24684211
5.473157895,20.59842105
24.27333333,9.931111111
26.35263158,9.565
3.715555556,23.45789474
13.803125,40.14
19.09842105,23.25294118
0.916666667,18.48166667
20.44888889,28.27222222
38.718,8.541428571
48.25263158,8.02
43.19916667,8.5125
24.7,39.79
17.8,39.9
2.56,2.657142857
18.8085,8.269
29.87058824,8.898888889
48.01666667,8.3125
42.01,7.8
27.26357143,35.01428571
28.68333333,8.853333333
20.589,8.3
0.0,19.35058824
23.34709541,10.11979837
13.08285714,7.868571429
24.95,8.098888889
47.7,54.7
20.9,21.8
0.0,8.668571429
35.2,28.38
1.921666667,18.48
22.7,13.38
3.699473684,0.0
29.39375,9.107272727
27.39411765,9.135
0.0,0.0
9.193125,20.36125
16.17,22.34
10.39083333,17.23692308
29.6,29.10909091
22.799375,20.5675
26.02105263,9.36
49.92777778,7.789
23.39047619,15.57142857
25.07647059,3.052352941
